content,publish_time,level
经核实吧主c13340075530 未通过普通吧主考核。违反《百度贴吧吧主制度》第八章规定http://tieba.baidu.com/tb/system.html#cnt08 ，无法在建设 kimi吧 内容上、言论导向上发挥应有的模范带头作用。故撤销其吧主管理权限。百度贴吧管理组,1楼,1
大家也看看呗这个GPT站怎么样?欢迎品鉴【chatgpt吧】_百度贴吧来自：tieba.baidu.com/p/9578596807?pid=151828915338&cid=0,1楼,1
欢迎进qq群370729635，免费领取各种AI教程与使用技巧--------------------------------《DeepSeek赋能职场.pdf》链接: https://pan.baidu.com/s/1bX4pnB_ODvGoYKd5rAfDTw 提取码: grnk--------------------------------《chatgpt使用教程.pdf》链接: https://pan.baidu.com/s/1crf_dNgFu8ifDkxpivor5w 提取码: 74iq--------------------------------《DeepSeek指导手册(24页)》.pdf链接: https://pan.baidu.com/s/1fbG6wp7-bT6dJWzfIsLn4g 提取码: nwp5--------------------------------清华大学104页《DeepSeek：从入门到精通》.pdf链接: https://pan.baidu.com/s/1Q4wWxdQXp_ZTHpiEKOxo5Q,1楼,1
无限制词畅聊——想聊就聊，情感陪伴无拘束，每个增值服务100金币，单栏位永久开启记忆、双倍模板、四倍模板、个性音声等功能，即使不续费也永久保留！删除栏位后重新添加，已开启的永久功能依然在，灵活管理不浪费。多角色互动，陪你聊天、学习、娱乐，打造专属AI社交圈!50金币增加基础栏位，轻松搭建多场景对话，满足你的所有需求!邮箱注册，注册可以免费对话些字数，新用户有10金币/7.3元三天的体验服务，体验满意再包月畅聊!里面的模型种类丰富，各有特色可切换尝试不同的风格P/M模型较老回复中规中矩，但胜在回复字数多，N/D回复细腻，描写篇幅长，但有道德警告，不过可规避，按照自己的喜好选择，R模型喜欢回避适合拉扯虐恋，大部分人不推荐，但R还是蛮有灵性，L/I很拟人，回复短经常不能很好的固定UI，但灵性足百无禁忌，大家体验满意再付费，切忌冲动消费。AI发展之路漫漫长，希望日后能够真正拥有长久的记忆给人带来更好的陪伴吧 !,来自Android客户端,1
FLAI - The AI dreams of you | Share Link: https://www.flaiapp.com/s/bbc817,来自Android客户端,1
FLAI - The AI dreams of you | Share Link: https://www.flaiapp.com/s/bbc817,来自Android客户端,1
chatgpt指令大全.pdf链接: https://pan.baidu.com/s/1w11EiYG7dqpek2RTBGFNdw提取码: 4irq--------------------------DeepSeek指导手册(24页).pdf链接: https://pan.baidu.com/s/1l_7_pt9NLFbenpRV6Cnvcw提取码: egrv--------------------------清华大学104页《DeepSeek：从入门到精通》.pdf链接: https://pan.baidu.com/s/1gCca2_hQ8RaWGKmu11D3rA提取码: iife,1楼,1
内容创作遇到瓶颈？解决内容创作难题的得力助手提高创作效率，让作品更加专业。通过掌握有效的指令和技巧，结合个人的见解和创意，创作出精彩的作品。下载链接：https://pan.quark.cn/s/e92a0f657132,1楼,1
kimi跟gpt和ds比，还是明显差一大截,来自Android客户端,1
八重波奇,来自Android客户端,1
你发一条，找农业相关的公司链接，他会显示已阅读xx个网页，点击一下就可以了,来自iPhone客户端,1
感谢，有效。,2024-12-5 8:52,2
聊得越长他越蠢，吧友们是怎么解决这个问题的呢？,来自Android客户端,1
可能是拟人化思考导致的,来自Android客户端,1
