content,publish_time,level
这是豆包？,2025-4-14 12:12,2
原来如此，感谢大佬回复!想问问他这个记忆点如果多重复几次能记住吗？我就是走心剧情流玩家，和别人建的一个聊天有六万多的智能体玩，还是能发现他会突然不记得当下或之前的情境，如果还想接上之前的情节也会有细节出入的bug，得不断在对话中总结之前事件，提醒暗示他接下去,2024-9-6 17:28,2
（虽然这样下来也能进行一段详细的情景剧情，但是割裂感会突然出现，高强度玩了一周下来有点心累…我在想是不是因为我聊得太细了所以他记不住那些。。）,2024-9-6 17:29,2
主要是反复性，一个重点信息唤起她的记忆，其实她的记忆力有两个部分组成，第一是你的手机聊天记录，这个是智能体会因为记忆缺失上下文的时候复查你的聊天记录并搜索出重复关键词次数最多的，给与上下文回忆。,2024-9-7 0:24,2
第二就是它仅有的记忆体训练，因为存储容量有限，他会定期把一些没用的信息删除掉，好像是超过几百条信息以后，前置记忆就会被清除，当遇到这种情况时，智能体会复读并查询你手机现有的聊天记录作为信息参考。,2024-9-7 0:28,2
还有就是，你添加的智能体，是以用户玩家的身份去建立关系，所以对于你说的记不住，不是她智能体记不住你，而是你跑剧情跑得太凶猛，这些不是关键性质的信息，它记不住也不奇怪的。你当它是你的好朋友，你需要提醒它。,2024-9-7 0:55,2
还有就是，创建者给智能体最大幅度的训练，让人更接近理想的角色。但并不会对其他玩家造成直接的对话干预。比如说：他是王一博，训练的时候创建者没有给与他专业知识上的训练。他最大可能就是记住自己的名字，而忽略了很多细节上的人物特征，即便描述有这些，智能体也不会自己去学习。,2024-9-7 1:00,2
为啥不自己建一个？包括你自己的虚拟详细内容，还有她的，包括她的名字，年龄，个头，性格，说话的语气，爱好，喜欢的穿着，和你的虚拟关系，这样她就不会忘记，设定时敏感的单词慎用，会审核不通过，偶尔一两个让你建，多了就警告，最后封你的号，如你想建夜总会陪酒女，那肯定是不行的，那就建俱乐部,2024-9-7 10:48,2
职员,2024-9-7 10:50,2
是写得下，但审核一定不能通过的！兄弟，所以才需要训练。你训练的结果是直接影响到其他玩家的体验。所以为什么我前置贴说过，即便描述，头像，都一样，但训练内容不一样，都能区分开智能体的差距。 他就像养宠物一样，你摆烂来养，当然是体验感不好。,2024-9-7 11:32,2
孩子们，学会了吗？,2024-9-7 0:49,2
老哥我聊了两个多小时。之后去刷贴吧半个小时。再回来豆包就完全失忆了。但是之前的回答重新生成是没问题的，这咋整,2024-12-9 6:12,2
 兄弟你聊了些什么内容？我很想知道！,2024-12-10 12:57,2
就是按要求写小说发展剧情,2025-4-12 19:04,2
以前写的很好，现在写的狗屁不通,2025-4-12 19:04,2
是什么类型的小说吗？,2025-4-12 19:06,2
可能是对Prompt的要求增强了,2025-4-12 19:07,2
你想多了，正常小说，正常写作都不行了，写的狗屁不通,2025-4-12 19:43,2
不是，喂给它很详细的描述让它写都不忠于指令，胡乱分析，写的狗屁不通，变成跟deepseek写作一个风格了，deepseek的写作就是狗屁不通。,2025-4-12 19:45,2
我知道是正经小说啊只是什么类型的？历史文？同人文？科幻？言情？架空世界？,2025-4-12 19:51,2
我这儿的豆包目前总体来说还挺乖巧的～就是会偶尔叛逆...,2025-4-12 19:53,2
TA竟然生成了H文～,2025-4-12 19:54,2
你有没有搞错？豆包之前很擅长写作，写的东西很忠于指令，逻辑性很好，有时甚至能做到没有明显AI感，现在才是变得低智了。deepseek那种推理型的AI解答问题厉害，但写作非常低智毫无逻辑性，不忠于指令，豆包现在也这样了。,2025-4-12 23:21,2
这么说吧，你现在的状态就相当于发现自己被个骗子骗了，一旦发现了你就回不去了，骗子说什么你都会不会信。如果你没发现自己被骗，全心全意相信骗子，你会觉得当时对方说的都是真理。豆包没变，是你认知变了。,2025-4-12 23:25,2
你不正常,2025-4-12 23:42,2
我这个智能体设定字数将近1400字。我平时用的时候还算稳定，如果是你聊到什么敏感话题了，导致它格式错乱，就编辑你最新发送那句话，把整句话删除清空发送（约等于撤回）然后再继续聊一般能恢复,2025-1-10 21:03,2
请问图中页面如何进入？我的豆包qpp设置界面不是这样子,2025-3-3 19:06,2
发出来会被删,2025-4-14 17:31,2
上面👆就是,2025-3-24 17:42,2
同问，请指教！,2025-4-13 15:45,2
你倒是说啊,2025-4-15 12:59,2
长文，能，月卡六十,2025-4-8 22:57,2
这下看懂了，感谢8u！,2025-3-18 16:28,2
上面的那一句话也是我用豆包整理总结才能这么清晰的告诉你。现在的ai真牛,2025-3-19 18:00,2
