content,create_time,ip_location,like_count
deepseek现在大不如前了，越来越官方了,2025-3-23 21:03,广西,61
大陆的AI全部是先入党的[呲牙][呲牙][呲牙][呲牙],2025-3-24 17:20,广东,0
问问他，今晚双色球开什么？,2025-3-23 15:26,云南,23
你老婆漂亮和你帅不帅没有关系,2025-3-24 10:18,广西,0
王祖蓝你也使用DeepSeek？,2025-3-24 18:13,广东,1
[憨笑]笑亖了，还用想，结果来一句王祖蓝唱歌像开碰碰车撞次元壁还自带鬼畜音响,2025-3-23 23:23,广西,5
跟我都没啥关系,2025-3-24 2:05,浙江,0
腾讯元宝更好用，而且还更快回答问题,2025-3-24 11:40,广东,2
豆包比它更好用。,2025-3-24 10:08,广东,2
Deepseek 还是情商太高了！要我回答我一定会说，我谁都不选，我只选王祖蓝！！[玫瑰][玫瑰][玫瑰],2025-3-23 15:36,浙江,23
情商真高，两头都不得罪，哈哈,2025-3-23 12:38,广西,39
每次问DS问题它都好认真，态度我很喜欢,2025-3-23 16:04,四川,7
回答的很中肯，主张的就是谁都不得罪[捂脸],2025-3-23 12:38,黑龙江,13
Deepseek有时候会停止思考[泪奔],2025-3-23 19:06,广东,3
天呐[泪奔][捂脸]太搞笑你想笑死我吗[泪奔][捂脸],2025-3-23 18:55,福建,3
deep seek虽然慢但答案真的很精准,2025-3-23 12:51,江西,5
终结者一代要出现了吗[笑哭][笑哭][笑哭]人工智能天网慢慢发育,2025-3-23 20:26,广东,9
人情世故的deep seek,2025-3-24 6:57,广东,4
祖蓝哥最帅[赞][赞][赞][赞][赞][赞][赞],2025-3-23 12:14,海南,8
双下巴都出来了，伙食不错啊,2025-3-23 22:09,广西,0
Deepseek的情商跟祖蓝哥齐平[灵机一动],2025-3-23 14:13,安徽,8
规范，国家有内规的,2025-3-23 21:05,,12
就像特意去韩国一样，也得守人家的规矩，不然不让用[呲牙],2025-3-24 12:03,,0
因为好的国用了，剩下的是规范性的就是我们用,2025-3-24 7:31,,7
不行的,2025-3-24 11:00,,0
那你应该用一个本地版,2025-3-24 10:54,,0
主任已经问过了,2025-3-24 13:59,,1
问了，也是随机号码。[泣不成声],2025-3-24 12:25,,0
别问了，7个号码就中一个号码,2025-3-24 11:33,,0
那些重生、穿越都搞不过主任，就别为难他了[捂脸]！,2025-3-24 11:19,,0
问过，回答不了[捂脸],2025-3-23 23:46,,0
这会回答不了[呲牙],2025-3-23 16:10,,1
元宝是DeepSeek合并优化出来的吗？,2025-3-24 16:30,,0
我也觉得，我一直用元宝,2025-3-24 14:53,,1
豆包只是代替百度的工具，不智能,2025-3-24 12:39,,0
豆包更智能，deep……更像搜索引擎,2025-3-24 15:58,,0
我猜你是把它当百度用的,2025-3-24 10:19,,0
你不觉得deepseek的回答很有情商嘛，既没有直接贬低，又没有故意送他想听的，而是用不同层面抬高两人，让人觉得又好听又真确还不会讨厌，高情商回答,2025-3-24 1:17,,0
要是彭于晏问呢，,2025-3-23 20:12,,0
有没有可能，滴sir根本不知道问它这个问题的是王祖蓝还是另一个人,2025-3-23 17:14,,0
我和王祖蓝谁更🔥,2025-3-24 16:53,广东,0
我用的DeepSeek为啥是出错的[捂脸],2025-3-24 16:29,山东,0
你要庆幸它还不会说脏话,2025-3-24 12:23,福建,1
