content,publish_time,level
看图。。。,来自Android客户端,1
我这边回答的可以,来自Android客户端,1
老婆在家中种了些植物。我一直不知道叫什么名字，所以找了几个ai 问，包括文小言，豆包，和Bing。八种植物之中，文小言答对了七个，比其他两个参赛的成绩好。不过问这棵植物，答案是白雪姬，答案文字没问题，但例图给了我白雪姬高达的图。我告诉他图发错了，叫他重发一次，他就是不肯。,来自Android客户端,1
感谢这一年里大家对我们的认可与支持AI是一片希望的田野我们将继续努力，不断前行！（来自 百度 微信公众号）,来自Android客户端,1
1月21日，文心中国行与首席 AI 架构师培养计划（AICA）预招募会将首次走进中国香港。届时，政府、企业与高校的相关专家和业界同仁将现场分享生成式人工智能与大模型最新进展，以及产业创新应用的实践案例，与参会者共同探讨如何将 AI 大模型技术优势转化为区域产业发展的新质生产力，紧抓大模型时代的发展与创新机遇。详情：网页链接,来自Android客户端,1
近日，全球领先的知识产权解决方案提供商Questel，发布全球深度学习专利全景报告，显示：●深度学习领域，百度专利申请量达6751件，是第二名的3倍多，位列全球第一；●大模型技术领域，专利申请量位列全球第二、中国第一。目前，百度大模型专利已应用在多个领域和场景中，如搜索、虚拟助理、安全、法律、情感分析等。2024年，百度全球AI专利申请量突破2.7万件，国内AI专利申请量突破2.1万件，申请量及授权量连续6年中国第一。去年2月，全球专利数据库机构IFIclaims发布生成式人工智能专利图景洞察，百度是唯一上榜中国主体，专利技术涵盖文本、图像、语音、视频四大基础领域，是这四个领域全面布局的全球四家公司之一。这一年在专利上的突破，不仅仅是技术上的成绩，也是对我们不断追求技术创新的肯定。在AI技术的应用上，我们仍在不断探索。,来自Android客户端,1
这方面太需要改进了。,来自Android客户端,1
4.0行,来自Android客户端,1
其实就是搜索的图片描述吧，不然怎么能说出“整齐排列”这种话,来自iPhone客户端,1
分享贴子  如何答好中国提出的福民之问？来自：tieba.baidu.com/p/9326860899,来自Android客户端,1
